date,M15,A15,N15,F16,M16,A16,N16,F17,M17,A17,N17,F18,M18,A18,N18,F19,M19,A19,N19,F20,M20,A20,N20,F21,M21,A21,N21,F22,M22,A22,N22,F23,M23,A23,N23,F24,M24,A24,N24,F25,M25,A25,N25,F26,M26
1987-06-30,0.645811764705882,0.645811764705882,0.646826516220028,0.646826516220028,0.646826516220028,0.641464718046423,0.641464718046423,0.641464718046423,0.641464718046423,0.641464718046423,0.717313386317594,0.717313386317594,0.717313386317594,0.69351882078196,0.69351882078196,0.69351882078196,0.69351882078196,0.69351882078196,0.652983603515852,0.652983603515852,0.652983603515852,0.652983603515852,0.606144108845881,0.606144108845881,0.606144108845881,0.606144108845881,0.648262841618124,0.648262841618124,0.648262841618124,0.648262841618124,0.64905442804428,0.64905442804428,0.64905442804428,0.64905442804428,0.638641160051739,0.638641160051739,0.638641160051739,0.638641160051739,0.531601813373631,0.531601813373631,0.531601813373631,0.531601813373631,0.514439245503729,0.514439245503729,0.514439245503729
1987-09-30,0.650809716599192,0.650809716599194,0.651768459844499,0.65176845984448,0.651768459844506,0.646063298167696,0.646063298167684,0.646063298167685,0.646063298167685,0.646063298167685,0.722474615823838,0.722474615823838,0.722474615823838,0.698610077537989,0.698610077537989,0.698610077537989,0.698610077537989,0.698610077537989,0.657584356848313,0.657584356848313,0.657584356848313,0.657584356848313,0.610409120842937,0.610409120842937,0.610409120842937,0.610409120842937,0.652837082361227,0.652837082361227,0.652837082361227,0.652837082361227,0.653601111086616,0.653601111086616,0.653601111086616,0.653601111086616,0.643039951416302,0.643039951416302,0.643039951416302,0.643039951416302,0.535317059078434,0.535317059078434,0.535317059078434,0.535317059078434,0.518002830139236,0.518002830139236,0.518002830139236
1987-12-31,0.646079816351624,0.646079816351629,0.647040663314706,0.647040663313558,0.647040663314298,0.641400052306723,0.641400052306656,0.641400052305815,0.641400052305815,0.641400052305815,0.717271619975639,0.717271619975639,0.717271619975639,0.693583341185339,0.693583341185339,0.693583341185339,0.693583341185339,0.693583341185339,0.652515278714196,0.652515278714196,0.652515278714196,0.652515278714196,0.605697211959704,0.605697211959704,0.605697211959704,0.605697211959704,0.647781496275505,0.647781496275505,0.647781496275505,0.647781496275505,0.648508963518803,0.648508963518803,0.648508963518803,0.648508963518803,0.638090982595004,0.638090982595004,0.638090982595004,0.638090982595004,0.531183024248543,0.531183024248543,0.531183024248543,0.531183024248543,0.514018851756641,0.514018851756641,0.514018851756641
1988-03-31,0.637399259445775,0.637399259446047,0.638440947992459,0.638440947971409,0.638440947980408,0.632725474179163,0.632725474177122,0.632725474173154,0.632725474173154,0.632725474173154,0.707576194596673,0.707576194596673,0.707576194596673,0.684175052873777,0.684175052873777,0.684175052873777,0.684175052873777,0.684175052873777,0.645791173304629,0.645791173304629,0.645791173304629,0.645791173304629,0.599460431654676,0.599460431654676,0.599460431654676,0.599460431654676,0.641081543229668,0.641081543229668,0.641081543229668,0.641081543229668,0.641750149841596,0.641750149841596,0.641750149841596,0.641750149841596,0.631556772698546,0.631556772698546,0.631556772698546,0.631556772698546,0.52573432704954,0.52573432704954,0.52573432704954,0.52573432704954,0.508737995860056,0.508737995860056,0.508737995860056
1988-06-30,0.642452608290914,0.642452608264663,0.643450660818981,0.643450666012325,0.643450666055517,0.637821108038769,0.63782110800772,0.637821108016094,0.637821108016094,0.637821108016094,0.713333487095509,0.713333487095509,0.713333487095509,0.689710539226618,0.689710539226618,0.689710539226618,0.689710539226618,0.689710539226618,0.651146442822586,0.651146442822586,0.651146442822586,0.651146442822586,0.604398556843479,0.604398556843479,0.604398556843479,0.604398556843479,0.646293407766193,0.646293407766193,0.646293407766193,0.646293407766193,0.64707575290369,0.64707575290369,0.64707575290369,0.64707575290369,0.636760868245909,0.636760868245909,0.636760868245909,0.636760868245909,0.530022900249209,0.530022900249209,0.530022900249209,0.530022900249209,0.512920359749739,0.512920359749739,0.512920359749739
1988-09-30,0.658231450862322,0.658231450983487,0.659188357847761,0.659188359855037,0.65918835992922,0.653368687488729,0.653368687444386,0.653368687477402,0.653368687477402,0.653368687477402,0.730712232800431,0.730712232800431,0.730712232800431,0.706565634634591,0.706565634634591,0.706565634634591,0.706565634634591,0.706565634634591,0.667109902286693,0.667109902286693,0.667109902286693,0.667109902286693,0.619239976062238,0.619239976062238,0.619239976062238,0.619239976062238,0.662173243464869,0.662173243464869,0.662173243464869,0.662173243464869,0.66298729917064,0.66298729917064,0.66298729917064,0.66298729917064,0.652336743342598,0.652336743342598,0.652336743342598,0.652336743342598,0.543030601361884,0.543030601361884,0.543030601361884,0.543030601361884,0.525464359422131,0.525464359422131,0.525464359422131
1988-12-31,0.638710448494778,0.638710449159981,0.639722445825485,0.639722286255715,0.639722286356833,0.63390803512908,0.633908035078143,0.633908035052369,0.633908035052369,0.633908035052369,0.708949515553289,0.708949515553289,0.708949515553289,0.685527613412229,0.685527613412229,0.685527613412229,0.685527613412229,0.685527613412229,0.647211265458564,0.647211265458564,0.647211265458564,0.647211265458564,0.600767652469223,0.600767652469223,0.600767652469223,0.600767652469223,0.642427452612463,0.642427452612463,0.642427452612463,0.642427452612463,0.64328083840279,0.64328083840279,0.64328083840279,0.64328083840279,0.632764148833048,0.632764148833048,0.632764148833048,0.632764148833048,0.526737221067006,0.526737221067006,0.526737221067006,0.526737221067006,0.50972972972973,0.50972972972973,0.50972972972973
1989-03-31,0.657117110310231,0.65711711132905,0.658173209247935,0.658172931084349,0.658172931145447,0.652011908680389,0.652011908549,0.652011908551314,0.652011908551314,0.652011908551314,0.729226840805392,0.729226840805392,0.729226840805392,0.70512638886078,0.70512638886078,0.70512638886078,0.70512638886078,0.70512638886078,0.667231064454227,0.667231064454227,0.667231064454227,0.667231064454227,0.619341994970662,0.619341994970662,0.619341994970662,0.619341994970662,0.662215415647237,0.662215415647237,0.662215415647237,0.662215415647237,0.662981668537224,0.662981668537224,0.662981668537224,0.662981668537224,0.652365175777655,0.652365175777655,0.652365175777655,0.652365175777655,0.543054576655533,0.543054576655533,0.543054576655533,0.543054576655533,0.525505892817434,0.525505892817434,0.525505892817434
1989-06-30,0.687298442579964,0.687298443653777,0.688394108050049,0.688393754266118,0.688393754250329,0.682412943563887,0.682412943370357,0.682412943401272,0.682412943401272,0.682412943401272,0.763194978221881,0.763194978221881,0.763194978221881,0.737953672736281,0.737953672736281,0.737953672736281,0.737953672736281,0.737953672736281,0.698490435584236,0.698490435584236,0.698490435584236,0.698490435584236,0.648381230835057,0.648381230835057,0.648381230835057,0.648381230835057,0.69321995118975,0.69321995118975,0.69321995118975,0.69321995118975,0.694083721640822,0.694083721640822,0.694083721640822,0.694083721640822,0.682907123128089,0.682907123128089,0.682907123128089,0.682907123128089,0.568467975287401,0.568467975287401,0.568467975287401,0.568467975287401,0.550115774021218,0.550115774021218,0.550115774021218
1989-09-30,0.697439654716495,0.69743965542403,0.698552142256494,0.698551764409893,0.698551764356415,0.692366554840832,0.69236655461274,0.692366554684584,0.692366554684584,0.692366554684584,0.774351699246865,0.774351699246865,0.774351699246865,0.74873418998245,0.74873418998245,0.74873418998245,0.74873418998245,0.74873418998245,0.708824412581638,0.708824412581638,0.708824412581638,0.708824412581638,0.657927742744661,0.657927742744661,0.657927742744661,0.657927742744661,0.703437354448067,0.703437354448067,0.703437354448067,0.703437354448067,0.704438554576676,0.704438554576676,0.704438554576676,0.704438554576676,0.692965866735215,0.692965866735215,0.692965866735215,0.692965866735215,0.576823732595638,0.576823732595638,0.576823732595638,0.576823732595638,0.558191121232735,0.558191121232735,0.558191121232735
