"vintage_sheet","vintage_date","date","forecast_horizon","food_at","services","core_gds","food_at_qoq_fc","services_qoq_fc","core_gds_qoq_fc","food_at_yoy","services_yoy","core_gds_yoy","energy_yoy","MPR_cpi","c_f","c_s","c_e","c_cg","encont_f","cpi_bottom_up","cpi_resid","c_cg_r"
"F24",2024 Q1,2024 Q1,0,137.868840067343,133.972949790894,120.589351947394,0.885918669327071,1.23456021257875,-0.184980298617657,6.9381723761242,6.24562690478667,1.73603849384403,-15.1533177129671,3.54770191985621,1.05364588974504,3.06320914477776,-1.07873539157188,0.497363107688656,-1.06036962271406,3.55384851949739,-0.00614659964118447,0.491216508047471
"F24",2024 Q1,2024 Q2,1,138.639566184242,135.372944237186,120.360830022235,0.559028506022559,1.04498292265535,-0.189504231898968,3.78346260853109,5.23031088507109,-0.409149831907207,-17.6096195055291,1.92895248933134,0.57620622142885,2.563290633737,-1.26350252625537,-0.116963457872397,-1.06517537694737,1.95735802034608,-0.0284055310147475,-0.145368988887145
"F24",2024 Q1,2024 Q3,2,139.518383813101,136.64421887607,120.1558851668,0.633886597489187,0.939090632952844,-0.17027537563271,2.96924772006983,4.61440304254186,-0.722112054714064,-14.3293743857223,2.16426907635485,0.452204550775755,2.26144417782048,-1.02814264273764,-0.206429812025082,-0.633670393167793,1.87354852340336,0.290720552951496,0.0842907409264133
"F24",2024 Q1,2024 Q4,3,140.600274320286,137.903713955112,119.949700776772,0.77544655952578,0.921733161784553,-0.171597412595366,2.84383058713615,4.11878209729579,-0.717000935315504,-8.55669617634991,2.61650226821732,0.433104023098488,2.01854838161469,-0.613948940340429,-0.204968698878175,-0.323439816727537,1.92324388910747,0.693258379109858,0.488289680231683
"F24",2024 Q1,2025 Q1,4,142.209836256638,139.210709244429,119.745465966495,1.1447786600224,0.947759311066581,-0.170267044398783,3.10008880509471,3.83507668274072,-0.70226150034447,-7.68668571440143,2.74346697768708,0.466697909020896,1.92098339075447,-0.471980182241391,-0.201658603392917,-0.252731503956926,1.93329119242552,0.810175785261561,0.608517181868644
"F24",2024 Q1,2025 Q2,5,143.497312570787,140.579587245448,119.556784711489,0.905335627998235,0.983313718067443,-0.157568600600274,3.44387909729154,3.77402661447919,-0.670270352481861,-0.859145024344254,2.69451231165396,0.520537504124879,1.89016612907333,-0.052968610442389,-0.191940830028869,0.0229601311417184,2.24172293431106,0.452789377342905,0.260848547314036
"F24",2024 Q1,2025 Q3,6,145.261866552776,141.992959938796,119.400205886838,1.22967737191502,1.0053897020484,-0.130966071920057,4.03417136471376,3.83968730633617,-0.630901750988944,2.54180408147091,2.68531452915779,0.609759353936574,1.9230513279438,0.156709084493702,-0.180667107388972,0.270653644872596,2.622797219364,0.0625173097937939,-0.118149797595178
"F24",2024 Q1,2025 Q4,7,147.325205051345,143.416190542675,119.279130446547,1.42042681092744,1.00232476630702,-0.101403041470284,4.6721492109393,3.91951098819838,-0.56061143052677,1.89518306015701,2.47081160659599,0.70618881222458,1.96302985357873,0.116843152652942,-0.160538539263366,0.190731972331095,2.69941209887104,-0.228600492275051,-0.389139031538417
"F24",2024 Q1,2026 Q1,8,149.313969628624,144.871848508785,119.193066128747,1.34991468471805,1.01498858713336,-0.0721537099389953,4.87475807093611,3.98608690801483,-0.46237902030235,1.25621259115762,2.30069197085179,0.713675631036676,2.06532396512783,0.0732932211460551,-0.128134443280919,0.0452030566248805,2.69606820950847,-0.395376238656679,-0.523510681937599
"F24",2024 Q1,2026 Q2,9,151.311407308894,146.469607988448,119.124070081869,1.33774333723588,1.10287781657354,-0.0578859568922223,5.30237059576502,4.10441672713731,-0.362588867105806,7.80967285182115,2.15916915958489,0.778233704473968,2.12759254382929,0.455701439609331,-0.100260027785614,0.00414866432257312,2.80971488484022,-0.650545725255324,-0.750805753040938
"F24",2024 Q1,2026 Q3,10,153.645186067011,148.116587565853,119.059050635974,1.54236802077537,1.12445141352091,-0.0545812830695174,5.6107867742532,4.22222389958193,-0.286133143748213,10.0387629229179,2.03897774313564,0.823500224565238,2.18865984726503,0.585770851438893,-0.0791191333908483,-0.0186106719354208,2.914430266504,-0.875452523368358,-0.954571656759207
"F24",2024 Q1,2026 Q4,11,155.878675402119,149.708320206315,118.99411332276,1.45366697927902,1.07464846889904,-0.0545421056753483,5.64355603328277,4.29380425287222,-0.23923563990369,7.2858092166264,1.94083409331656,0.828309798205342,2.22576471162692,0.425133525018446,-0.0661514295667931,-0.0569676269020031,2.93095545336346,-0.990121360046904,-1.0562727896137
"F24",2024 Q1,2027 Q1,12,157.851808066794,151.211146202998,118.935972538716,1.26581308160649,1.00383598894999,-0.0488602187290501,5.56054015996557,4.2827631053771,-0.215928045870761,5.87843874109817,1.88650025245858,0.81407568330999,2.21904175263097,0.342975156973876,-0.0598379656765022,-0.0868417927312395,2.88643767753322,-0.999937425074642,-1.05977539075114
"M24",2024 Q2,2024 Q2,0,139.013127560588,135.10412855335,121.07449826978,0.973559041870339,1.00573621896903,0.132250416351224,4.05254813167968,5.03153930745048,0.182039809793011,-17.6096195055291,1.96144234495117,0.617186870262288,2.4658759036447,-1.26350252625537,0.0520396294056231,-1.12512372340148,2.00997867991113,-0.0485363349599632,0.00350329444566011
"M24",2024 Q2,2024 Q3,1,139.655482152712,136.310380961675,121.070846368196,0.462081965491645,0.892831641224378,-0.00301624341719944,3.06746490107779,4.36979234094395,0.0364818070041295,-14.3293743857223,2.18281297409861,0.467162634574543,2.1415644356607,-1.02814264273764,0.010429035927367,-0.656583404509122,1.96257270165349,0.220240272445121,0.230669308372488
"M24",2024 Q2,2024 Q4,2,141.097131232612,137.531643204076,121.108872625719,1.03228964425767,0.895942212019871,0.0314082693430198,3.19659026313595,3.8486127325557,0.244741073980492,-8.55669617634991,2.55047152915289,0.486827910714552,1.88614275269928,-0.613948940340429,0.0699640084482663,-0.306650987117371,2.13628368474473,0.414187844408158,0.484151852856424
"M24",2024 Q2,2025 Q1,3,142.700500151413,138.811530503,121.065043662427,1.13635826950803,0.930612962302035,-0.036189721150633,3.58681627538688,3.70784371587645,0.124353820375855,-7.68668571440143,2.58867037074522,0.539971517272078,1.8572526139482,-0.471980182241391,0.0357089456438491,-0.249709728204406,2.18322334865972,0.4054470220855,0.441155967729349
"M24",2024 Q2,2025 Q2,4,144.043099705545,140.156946136483,121.003588963137,0.940851330379139,0.969239103270244,-0.0507617206677261,3.55441867511956,3.671703480149,-0.0585838309294928,-0.859145024344254,2.54292430703744,0.537245406558177,1.83891908116182,-0.052968610442389,-0.0167762591516116,0.175827664794185,2.53521589336257,0.0077084136748744,-0.00906784547673745
"M24",2024 Q2,2025 Q3,5,145.895101439182,141.548852295471,120.943791474179,1.28572749227384,0.993105370341722,-0.0494179465834704,4.37093321869808,3.7710405006937,-0.104997703297727,2.54180408147091,2.46753821270209,0.660660436699709,1.88867057758113,0.156709084493702,-0.0300674888087579,0.347114430654287,2.86637795612637,-0.398839743424276,-0.428907232233034
"M24",2024 Q2,2025 Q4,6,147.983546100043,142.95606004901,120.892702603505,1.43147003584002,0.994149885865152,-0.0422418299039315,4.76525653804556,3.8683287634024,-0.178651795554607,1.89518306015701,2.27305758219698,0.720261854366433,1.93739598355014,0.116843152652942,-0.0511593177259427,0.198061531823013,2.80456005201365,-0.531502469816667,-0.58266178754261
"M24",2024 Q2,2026 Q1,7,150.051873170075,144.398068992987,120.855600300853,1.39767367693269,1.00870781097519,-0.0306902748079737,5.02330260557962,3.94567363340315,-0.173150509580644,1.25621259115762,2.10217043650021,0.73542288760943,2.0443845058308,0.0732932211460551,-0.0479834576716207,0.0381151720443076,2.76993910781292,-0.66776867131271,-0.715752128984331
"M24",2024 Q2,2026 Q2,8,152.116628265854,145.982546412183,120.823417799698,1.37602753778325,1.09729820505641,-0.0266288869322398,5.45349595472144,4.07242308993006,-0.149008333839706,7.80967285182115,1.83998597340445,0.800414509420826,2.11100811088854,0.455701439609331,-0.0412025328033513,-0.135619888466691,2.73460019903932,-0.894614225634874,-0.935816758438226
