date,cpi,core_gds,services,food_at,energy,pmdef,eer,infl_exp
1990-06-30,0.559306064458237,0.559306064458237,0.559306064458237,99.4459676923077,0.559306064458237,0.577736281832618,93.0686461538462,9.103956639566398
1990-09-30,0.566150287609946,0.566150287609946,0.566150287609946,99.6708575757576,0.566150287609946,0.559306064458237,99.4459676923077,7.479473684210528
1990-12-31,0.562933816006925,0.562933816006925,0.562933816006925,99.11813125,0.562933816006925,0.566150287609946,99.6708575757576,7.172456140350878
1991-03-31,0.572353162414593,0.572353162414593,0.572353162414593,96.4211415384615,0.572353162414593,0.562933816006925,99.11813125,5.5856456456456485
1991-06-30,0.583560491596442,0.583560491596442,0.583560491596442,95.722653030303,0.583560491596442,0.572353162414593,96.4211415384615,4.608518518518517
1991-09-30,0.575525871334255,0.575525871334255,0.575525871334255,96.172296969697,0.575525871334255,0.583560491596442,95.722653030303,4.412567287784677
1991-12-31,0.569240519700011,0.569240519700011,0.569240519700011,95.7979523076923,0.569240519700011,0.575525871334255,96.172296969697,4.345333333333336
1992-03-31,0.565060536531163,0.565060536531163,0.565060536531163,97.5734815384615,0.565060536531163,0.569240519700011,95.7979523076923,4.0467864271457055
1992-06-30,0.565398135857753,0.565398135857753,0.565398135857753,96.7108151515151,0.565398135857753,0.565060536531163,97.5734815384615,3.841433691756277
1992-09-30,0.599204232560151,0.599204232560151,0.599204232560151,84.8453393939394,0.599204232560151,0.565398135857753,96.7108151515151,3.5328714859437773
1992-12-31,0.624077675456157,0.624077675456157,0.624077675456157,83.282759375,0.624077675456157,0.599204232560151,84.8453393939394,3.071182795698927
1993-03-31,0.62651505325205,0.62651505325205,0.62651505325205,85.35204,0.62651505325205,0.624077675456157,83.282759375,2.954393939393937
1993-06-30,0.624144886243424,0.624144886243424,0.624144886243424,86.5331560606061,0.624144886243424,0.62651505325205,85.35204,2.792617079889807
1993-09-30,0.628682462078476,0.628682462078476,0.628682462078476,86.4063939393939,0.628682462078476,0.624144886243424,86.5331560606061,2.492833813640727
1993-12-31,0.630909288844134,0.630909288844134,0.630909288844134,86.70360625,0.630909288844134,0.628682462078476,86.4063939393939,2.815287356321837
1994-03-31,0.639403299119246,0.639403299119246,0.639403299119246,85.5385353846154,0.639403299119246,0.630909288844134,86.70360625,2.7616666666666663
1994-06-30,0.654725113858165,0.654725113858165,0.654725113858165,84.8609075757576,0.654725113858165,0.639403299119246,85.5385353846154,2.635340501792117
1994-09-30,0.656276447534601,0.656276447534601,0.656276447534601,85.8897476923077,0.656276447534601,0.654725113858165,84.8609075757576,2.489019607843137
1994-12-31,0.670204027556969,0.670204027556969,0.670204027556969,84.2160876923077,0.670204027556969,0.656276447534601,85.8897476923077,3.068726287262877
1995-03-31,0.681255593913822,0.681255593913822,0.681255593913822,81.5888753846154,0.681255593913822,0.670204027556969,84.2160876923077,2.919166666666667
1995-06-30,0.691962106896595,0.691962106896595,0.691962106896595,81.6485723076923,0.691962106896595,0.681255593913822,81.5888753846154,2.7777192982456174
1995-09-30,0.69193029523916,0.69193029523916,0.69193029523916,81.0175984615385,0.69193029523916,0.691962106896595,81.6485723076923,3.350050352467267
1995-12-31,0.696762774901042,0.696762774901042,0.696762774901042,80.8961815384615,0.696762774901042,0.69193029523916,81.0175984615385,2.477568306010927
1996-03-31,0.697170201453299,0.697170201453299,0.697170201453299,81.8821969230769,0.697170201453299,0.696762774901042,80.8961815384615,2.392380952380957
1996-06-30,0.681863448978646,0.681863448978646,0.681863448978646,82.8694863636364,0.681863448978646,0.697170201453299,81.8821969230769,2.4954307116104864
1996-09-30,0.672737350542402,0.672737350542402,0.672737350542402,88.3335560606061,0.672737350542402,0.681863448978646,82.8694863636364,2.5648006379585366
1996-12-31,0.649386851180573,0.649386851180573,0.649386851180573,92.8203203125,0.649386851180573,0.672737350542402,88.3335560606061,2.5103994760969264
1997-03-31,0.638987613299405,0.638987613299405,0.638987613299405,95.1314861538462,0.638987613299405,0.649386851180573,92.8203203125,2.7298550724637667
1997-06-30,0.63319365618204,0.63319365618204,0.63319365618204,97.4714606060606,0.63319365618204,0.638987613299405,95.1314861538462,3.0203990610328666
1997-09-30,0.631289999069489,0.631289999069489,0.631289999069489,98.6261712121212,0.631289999069489,0.63319365618204,97.4714606060606,3.206276041666667
1997-12-31,0.625382355920186,0.625382355920186,0.625382355920186,100.6106328125,0.625382355920186,0.631289999069489,98.6261712121212,2.925964912280707
1998-03-31,0.615740603692411,0.615740603692411,0.615740603692411,100.512433846154,0.615740603692411,0.625382355920186,100.6106328125,3.194044516829537
