date,cpi,services,core_gds,food_at,food,alcohol,tobacco,energy,pmdef,eer,infl_exp
1990-06-30,55.21619158542686,37.291624274552866,109.49190013681634,46.254605437496444,55.346351848943236,61.765235556426,17.93520697815913,33.80915463883429,0.5777362818326178,93.06864615384616,8.637383390216158
1990-09-30,56.369272175671995,38.22640387855523,110.77076285444734,47.03149059250183,56.069624655319,63.670729168673326,18.481682748606264,35.5020138953444,0.5593060644582367,99.44596769230769,9.103956639566398
1990-12-31,57.494731664187164,39.201502982242765,112.05036881814966,47.936473709297566,57.00354222623023,64.67603017451397,19.002571533239166,36.7234809134996,0.5661502876099461,99.67085757575758,7.479473684210527
1991-03-31,58.13118545273483,40.047703963848164,112.98292320290068,48.48313138397973,57.57594397272211,65.85960154960564,19.262093733579402,36.12160719246744,0.5629338160069253,99.11813125,7.172456140350878
1991-06-30,59.827704954277,41.70930598192003,115.13720255660066,49.97583810765351,58.34442148265083,69.93510649414411,20.910685390260365,37.36209796728644,0.5723531624145929,96.42114153846154,5.5856456456456485
1991-09-30,60.74944078980929,42.4781141266049,116.636780741392,50.515685671761865,58.88671171153036,70.63396807380677,21.411108334840396,38.223615390125794,0.5835604915964423,95.72265303030304,4.608518518518517
1991-12-31,61.53710022183867,43.254295895819865,117.83569409846933,51.22358762445206,59.515813210515205,71.3268701930542,21.990490323671597,38.311036996073334,0.5755258713342546,96.17229696969697,4.412567287784677
1992-03-31,62.13108340529494,43.88211084331144,118.757900186519,51.67096730498673,59.95997811315567,71.93705540845441,22.326943234882403,38.2585354762063,0.5692405197000105,95.79795230769231,4.345333333333336
1992-06-30,62.4167594688139,44.45291404860867,118.72539056332867,51.90605960661896,59.72382909233777,72.6018340712028,23.022675914431,38.3838549974264,0.565060536531163,97.57348153846154,4.046786427145706
1992-09-30,62.6910587127351,44.967908340780205,118.80744931931766,52.02396535478156,59.567454280380275,73.5410709919103,23.465847617110438,38.27528166782156,0.5653981358577534,96.71081515151515,3.841433691756277
1992-12-31,63.19546580105313,45.5334787838155,118.62097406673733,52.659248452748166,60.084591825017334,74.54228799168003,23.987472537389166,38.984401383308665,0.5992042325601511,84.8453393939394,3.5328714859437773
1993-03-31,63.53193020186643,46.101572867905595,118.15538890068565,53.00540932447924,60.48417490954703,74.78018778660457,24.233990541025832,39.38310843762067,0.6240776754561574,83.282759375,3.071182795698927
1993-06-30,63.996848002475566,46.68664304185307,118.57890610132166,53.42843204216697,60.78493677068229,75.0012902920724,24.732092019718866,39.52378546737967,0.6265150532520501,85.35204,2.954393939393937
1993-09-30,64.4972866224836,47.17689598915501,119.20962696258333,53.998699977941364,61.2955740454787,75.2060597578541,25.487515783485197,39.39781324010773,0.6241448862434236,86.53315606060606,2.792617079889807
1993-12-31,64.75026449779078,47.6723422506129,119.03906096316099,54.00007333964444,60.77804708670734,75.58874318439094,26.1686488037116,39.66019634092813,0.6286824620784757,86.40639393939394,2.492833813640727
1994-03-31,65.02081928690302,47.98812629321117,119.14640121792768,54.21851030808023,60.740680960006706,75.73051370217091,26.807037602742767,40.07875203465476,0.6309092888441336,86.70360625,2.815287356321837
1994-06-30,65.32463237572937,48.26460358160957,118.77672295423501,54.491475939598466,61.33160363307646,75.016405031555,26.698443778989965,41.2796091631164,0.6394032991192458,85.53853538461539,2.7616666666666663
1994-09-30,65.6217378958667,48.640043345850636,118.51837675013799,54.782983499099295,61.58813981922341,75.10106382798163,27.159970986605163,41.77547615046,0.6547251138581652,84.86090757575758,2.635340501792117
1994-12-31,65.91258233144197,49.004766879317266,118.55559124023932,55.135842945445766,61.87536373778297,75.20266837493976,27.53234820108827,41.79839067325454,0.6562764475346015,85.8897476923077,2.489019607843137
1995-03-31,66.55984435485173,49.44754650143693,119.14164346657334,55.986111840281374,62.65441329771077,76.32403457721016,28.280602742619703,42.653622935310864,0.6702040275569687,84.2160876923077,3.068726287262877
1995-06-30,66.98125745494457,49.86251490529853,119.47764177698768,56.531530486524,63.28505567148793,76.67532825166687,28.6065742320976,42.656798701285396,0.6812555939138217,81.58887538461538,2.919166666666667
1995-09-30,67.43925519034467,50.22865843982686,119.94369350049999,57.25156386745606,64.20268173002147,77.15429823363864,29.026758522047334,42.6632738220709,0.6919621068965949,81.6485723076923,2.7777192982456174
1995-12-31,67.7603162526695,50.61516497741817,119.99577498716633,57.708587400310705,64.54815537670844,77.58026478724193,29.513114664738136,42.678036582840726,0.6919302952391598,81.01759846153846,3.350050352467267
1996-03-31,68.28260788249216,50.993647589274794,120.24149305860935,58.458904221068906,65.41763965015018,77.88170100870191,30.05873886969937,43.42655506095027,0.6967627749010417,80.89618153846153,2.477568306010927
1996-06-30,68.630978287536,51.397502200309,120.43987575301269,59.000796270991536,65.9620037543158,78.49726725082897,30.458971740884028,43.09659422739733,0.6971702014532994,81.88219692307692,2.392380952380957
1996-09-30,68.9656737620406,51.90598697544334,120.52853257953366,59.1372057211764,65.91663989006015,78.9556285563073,30.9368727511478,43.4362515367755,0.6818634489786465,82.86948636363637,2.4954307116104864
1996-12-31,69.36570967287334,52.33690794471414,120.77286764533632,59.032691490299705,65.34912424610104,79.30671594697753,31.49536536382873,44.8268933540902,0.6727373505424024,88.33355606060606,2.564800637958537
1997-03-31,69.60406774821827,52.842807533959636,120.52207718314168,58.99594244830997,65.12111813716736,78.97251247757137,32.021514489984334,45.1564062720225,0.6486650084743897,92.8203203125,2.5103994760969264
1997-06-30,69.77005089184976,53.309336220697396,120.24847317869667,59.27329062114983,65.28423465677838,79.1217062156274,32.5434480097865,44.45792534279354,0.6388196831604066,95.13148615384615,2.7298550724637667
1997-09-30,70.30104321188433,53.83162990468623,120.291654417997,59.90991349929826,65.93731671201279,79.38285200545643,33.3115974967236,45.4434764132265,0.6336372997590208,97.4714606060606,3.0203990610328666
1997-12-31,70.58617183624257,54.36752815730214,120.20939404712499,60.246114893887665,66.02436459058653,79.448931741443,34.117871697004865,45.22027495078677,0.6316818572123194,98.6261712121212,3.206276041666667
1998-03-31,70.72958127032813,54.86510599426497,119.85045730035701,60.2658238618794,65.47244561075496,80.32702942760056,35.02782241751527,44.942855661321765,0.6254773843894038,100.6106328125,2.925964912280707
