"vintage_date","value","frequency","forecast_horizon","variable","source","date"
"2024  Q2",-0.0266288869322541,"Q",8,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2024  Q2",-0.0318430420779623,"Q",9,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2024  Q2",-0.0389561234614383,"Q",10,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2024  Q2",-0.0384149769188241,"Q",11,"Core goods inflation","OLS-FixedCoeff","2027  Q1"
"2024  Q2",-0.0378704787921883,"Q",12,"Core goods inflation","OLS-FixedCoeff","2027  Q2"
"2024  Q3",0.0788886440954491,"Q",0,"Core goods inflation","OLS-FixedCoeff","2024  Q3"
"2024  Q3",0.0671932134805614,"Q",1,"Core goods inflation","OLS-FixedCoeff","2024  Q4"
"2024  Q3",-0.00958256492149336,"Q",2,"Core goods inflation","OLS-FixedCoeff","2025  Q1"
"2024  Q3",-0.035202897248168,"Q",3,"Core goods inflation","OLS-FixedCoeff","2025  Q2"
"2024  Q3",-0.0525014164795782,"Q",4,"Core goods inflation","OLS-FixedCoeff","2025  Q3"
"2024  Q3",-0.0577914400577902,"Q",5,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2024  Q3",-0.0543797915156258,"Q",6,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
"2024  Q3",-0.0533327017688057,"Q",7,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2024  Q3",-0.0578010429954785,"Q",8,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2024  Q3",-0.0623408849573038,"Q",9,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2024  Q3",-0.0590892966533053,"Q",10,"Core goods inflation","OLS-FixedCoeff","2027  Q1"
"2024  Q3",-0.0549083361922441,"Q",11,"Core goods inflation","OLS-FixedCoeff","2027  Q2"
"2024  Q3",-0.051810209999689,"Q",12,"Core goods inflation","OLS-FixedCoeff","2027  Q3"
"2024  Q4",0.230560660908383,"Q",0,"Core goods inflation","OLS-FixedCoeff","2024  Q4"
"2024  Q4",0.125592537738231,"Q",1,"Core goods inflation","OLS-FixedCoeff","2025  Q1"
"2024  Q4",0.0379812421571436,"Q",2,"Core goods inflation","OLS-FixedCoeff","2025  Q2"
"2024  Q4",-0.0453820946367612,"Q",3,"Core goods inflation","OLS-FixedCoeff","2025  Q3"
"2024  Q4",-0.0877248606650128,"Q",4,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2024  Q4",-0.0990426383369512,"Q",5,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
"2024  Q4",-0.102839486906511,"Q",6,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2024  Q4",-0.105514177841406,"Q",7,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2024  Q4",-0.104585448857438,"Q",8,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2024  Q4",-0.0936751439825496,"Q",9,"Core goods inflation","OLS-FixedCoeff","2027  Q1"
"2024  Q4",-0.0811726744293243,"Q",10,"Core goods inflation","OLS-FixedCoeff","2027  Q2"
"2024  Q4",-0.0700533616853031,"Q",11,"Core goods inflation","OLS-FixedCoeff","2027  Q3"
"2024  Q4",-0.0611676892744922,"Q",12,"Core goods inflation","OLS-FixedCoeff","2027  Q4"
"2025  Q1",0.299565615818021,"Q",0,"Core goods inflation","OLS-FixedCoeff","2025  Q1"
"2025  Q1",0.199083913268195,"Q",1,"Core goods inflation","OLS-FixedCoeff","2025  Q2"
"2025  Q1",0.249867398230722,"Q",2,"Core goods inflation","OLS-FixedCoeff","2025  Q3"
"2025  Q1",0.156873683842093,"Q",3,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2025  Q1",0.0952529920063533,"Q",4,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
"2025  Q1",0.05034374593344,"Q",5,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2025  Q1",0.0144587178427108,"Q",6,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2025  Q1",-0.0111565411095579,"Q",7,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2025  Q1",-0.0211245759578561,"Q",8,"Core goods inflation","OLS-FixedCoeff","2027  Q1"
"2025  Q1",-0.0257342965044203,"Q",9,"Core goods inflation","OLS-FixedCoeff","2027  Q2"
"2025  Q1",-0.0275663191032753,"Q",10,"Core goods inflation","OLS-FixedCoeff","2027  Q3"
"2025  Q1",-0.0291332086282914,"Q",11,"Core goods inflation","OLS-FixedCoeff","2027  Q4"
"2025  Q1",-0.0313678057781105,"Q",12,"Core goods inflation","OLS-FixedCoeff","2028  Q1"
"2025  Q2",0.321997550088094,"Q",0,"Core goods inflation","OLS-FixedCoeff","2025  Q2"
"2025  Q2",0.277556148467838,"Q",1,"Core goods inflation","OLS-FixedCoeff","2025  Q3"
"2025  Q2",0.155275246889665,"Q",2,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2025  Q2",0.0620502263537223,"Q",3,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
"2025  Q2",0.0081865963155238,"Q",4,"Core goods inflation","OLS-FixedCoeff","2026  Q2"
"2025  Q2",-0.0267040559127335,"Q",5,"Core goods inflation","OLS-FixedCoeff","2026  Q3"
"2025  Q2",-0.0473936791585131,"Q",6,"Core goods inflation","OLS-FixedCoeff","2026  Q4"
"2025  Q2",-0.0491515439681896,"Q",7,"Core goods inflation","OLS-FixedCoeff","2027  Q1"
"2025  Q2",-0.0467114656812865,"Q",8,"Core goods inflation","OLS-FixedCoeff","2027  Q2"
"2025  Q2",-0.0418633743749253,"Q",9,"Core goods inflation","OLS-FixedCoeff","2027  Q3"
"2025  Q2",-0.0317027915882888,"Q",10,"Core goods inflation","OLS-FixedCoeff","2027  Q4"
"2025  Q2",-0.0332433579115499,"Q",11,"Core goods inflation","OLS-FixedCoeff","2028  Q1"
"2025  Q2",-0.0326804671232096,"Q",12,"Core goods inflation","OLS-FixedCoeff","2028  Q2"
"2025  Q3",0.325769985374089,"Q",0,"Core goods inflation","OLS-FixedCoeff","2025  Q3"
"2025  Q3",0.170321887793389,"Q",1,"Core goods inflation","OLS-FixedCoeff","2025  Q4"
"2025  Q3",0.134295162458942,"Q",2,"Core goods inflation","OLS-FixedCoeff","2026  Q1"
