"vintage_date","value","frequency","forecast_horizon","variable","source","date"
"2024  Q2",0.932482769385478,"Q",12,"Services inflation","OLS-FixedCoeff","2027  Q2"
"2024  Q3",1.22294329552391,"Q",0,"Services inflation","OLS-FixedCoeff","2024  Q3"
"2024  Q3",1.07782267748624,"Q",1,"Services inflation","OLS-FixedCoeff","2024  Q4"
"2024  Q3",1.02084828619146,"Q",2,"Services inflation","OLS-FixedCoeff","2025  Q1"
"2024  Q3",1.00942231426725,"Q",3,"Services inflation","OLS-FixedCoeff","2025  Q2"
"2024  Q3",1.00647784363189,"Q",4,"Services inflation","OLS-FixedCoeff","2025  Q3"
"2024  Q3",0.995226820878435,"Q",5,"Services inflation","OLS-FixedCoeff","2025  Q4"
"2024  Q3",1.00538808019964,"Q",6,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2024  Q3",1.09309662122901,"Q",7,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2024  Q3",1.11552763810237,"Q",8,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2024  Q3",1.06892884365742,"Q",9,"Services inflation","OLS-FixedCoeff","2026  Q4"
"2024  Q3",1.00049669364605,"Q",10,"Services inflation","OLS-FixedCoeff","2027  Q1"
"2024  Q3",0.93207239234327,"Q",11,"Services inflation","OLS-FixedCoeff","2027  Q2"
"2024  Q3",0.871956075389139,"Q",12,"Services inflation","OLS-FixedCoeff","2027  Q3"
"2024  Q4",0.970866703829326,"Q",0,"Services inflation","OLS-FixedCoeff","2024  Q4"
"2024  Q4",0.916546583871734,"Q",1,"Services inflation","OLS-FixedCoeff","2025  Q1"
"2024  Q4",0.920706633363821,"Q",2,"Services inflation","OLS-FixedCoeff","2025  Q2"
"2024  Q4",0.938834752961469,"Q",3,"Services inflation","OLS-FixedCoeff","2025  Q3"
"2024  Q4",0.945351030236941,"Q",4,"Services inflation","OLS-FixedCoeff","2025  Q4"
"2024  Q4",0.970321424889095,"Q",5,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2024  Q4",1.06975360725657,"Q",6,"Services inflation","OLS-FixedCoeff","2026  Q2"
"2024  Q4",1.10153995572241,"Q",7,"Services inflation","OLS-FixedCoeff","2026  Q3"
"2024  Q4",1.06207288824073,"Q",8,"Services inflation","OLS-FixedCoeff","2026  Q4"
"2024  Q4",0.998826069501321,"Q",9,"Services inflation","OLS-FixedCoeff","2027  Q1"
"2024  Q4",0.933786037437718,"Q",10,"Services inflation","OLS-FixedCoeff","2027  Q2"
"2024  Q4",0.875439559425549,"Q",11,"Services inflation","OLS-FixedCoeff","2027  Q3"
"2024  Q4",0.832283968907154,"Q",12,"Services inflation","OLS-FixedCoeff","2027  Q4"
"2025  Q1",1.08139564319704,"Q",0,"Services inflation","OLS-FixedCoeff","2025  Q1"
"2025  Q1",1.01865156435233,"Q",1,"Services inflation","OLS-FixedCoeff","2025  Q2"
"2025  Q1",0.994284089997874,"Q",2,"Services inflation","OLS-FixedCoeff","2025  Q3"
"2025  Q1",0.975700036232517,"Q",3,"Services inflation","OLS-FixedCoeff","2025  Q4"
"2025  Q1",0.986040587533813,"Q",4,"Services inflation","OLS-FixedCoeff","2026  Q1"
"2025  Q1",1.07707211368155,"Q",5,"Services inflation","OLS-FixedCoeff","2026  Q2"
